Expiry,MAPE,a,b,rho,mu,sigma
0.011904762,3.321316726,-0.273853043,4.095420589,-0.060459988,4.633052836,0.137052188
0.031746032,8.968856719,-2.326393561,5.506675489,-0.337923942,4.53515775,0.524872224
0.051587302,1.079818424,0.0753691,1.673492917,0.084862521,4.697189874,0.10799131
0.071428571,0.731431997,-0.179323172,1.776940882,0.189245369,4.783198012,0.300129466
0.091269841,0.683715186,-5.208918962,4.946615796,0.015172065,4.750260137,-1.120180755
0.111111111,0.59356411,-10.70879335,35.7336536,-0.918097957,2.945964559,0.77859725
0.130952381,1.226050366,-1.416189119,2.803915903,-0.421972637,4.405874616,0.67869341
0.21031746,1.111529495,-7.46972302,13.95553652,-0.850389766,3.03417403,1.056238222
0.28968254,1.546103685,-5.012695908,9.612734315,-0.844656306,3.129304154,1.027742009
0.468253968,1.398423102,-3.226533417,15.27405093,-0.94202396,2.875705777,0.683001136
0.547619048,1.510587516,-1.23646991,13.11591622,-0.963781105,3.257944406,0.431076051
0.825396825,1.183529186,-0.464476074,4.832217301,-0.956392323,3.323342699,0.515119266
