S0,T,K,r,sigma,Swap_Prices
86.2323744337342,0.21564048920505757,0.21564048920505757,0.6573653629773131,0.7470823586403672,0.5611926159234392
82.93774335514038,0.6465328761366943,0.6465328761366943,0.1263738044900872,0.17151283137515239,0.0296033461878852
87.02850065849717,0.506825947186347,0.506825947186347,0.42449954088166,0.40910063607473,0.16829985248287524
111.11701160610752,0.5024170387938462,0.5024170387938462,0.6390852301299617,0.448279288097308,0.20173811671392997
96.798702602117,0.7479392003920646,0.7479392003920646,0.1442473131650791,0.3653384385362327,0.13377327514302126
99.0143315491318,0.8215978540459381,0.8215978540459381,0.5634520144427212,0.6882411532149783,0.473531887324534
101.41333897541226,0.2840660700802219,0.2840660700802219,0.413653122420931,0.7674819517562435,0.5930834354320441
109.1695661596587,0.9913945588477591,0.9913945588477591,0.5413260903681507,0.5670197601578674,0.32273081227255324
108.8808948659942,0.6776562172098508,0.6776562172098508,0.7049638838428677,0.6364070600425366,0.4068164213614277
96.06113584328709,0.5699767113226281,0.5699767113226281,0.33328118087388137,0.1565485230599416,0.024619727079377
94.55518398417527,0.5994789596720472,0.5994789596720472,0.16977258310343488,0.38022964774492274,0.14444171616692764
110.25625170208085,0.38360482352516523,0.38360482352516523,0.5180093632878399,0.3178710029755957,0.10186953689850965
111.44274416479853,0.5355792191163798,0.5355792191163798,0.541373727106413,0.725798273489623,0.5301490837363889
84.53263743750384,0.10925298061227234,0.10925298061227234,0.5648639943888766,0.7816319923293172,0.6228145609400199
98.49514241919152,0.1789340788804452,0.1789340788804452,0.19252237327794522,0.7239560493213814,0.5244511476041742
88.82592222539859,0.16370922307277475,0.16370922307277475,0.28348558455169254,0.2935751096119,0.08632544778884503
90.6573999392205,0.16505033065405905,0.16505033065405905,0.2740460553706825,0.13221842059787092,0.017804113182709018
115.73173155967353,0.23458193064999894,0.23458193064999894,0.560110312852853,0.6588699702550196,0.4342976348610261
86.56716979061959,0.9364291078165248,0.9364291078165248,0.6261824225569199,0.3108060229264153,0.09698603746048123
117.77485125087654,0.4099012798335808,0.4099012798335808,0.6735924974705234,0.14630400915794173,0.021454668330882994
89.63760440676977,0.6882721647558585,0.6882721647558585,0.5259677851054688,0.3933099161453927,0.15515674339575525
108.29705928760822,0.3350095749933665,0.3350095749933665,0.15128574456108773,0.23059799917679616,0.05353880197364572
107.30721677944918,0.7977615960775566,0.7977615960775566,0.7368593653117703,0.3013353299360865,0.09078125310045881
105.53614285218745,0.9958004280181465,0.9958004280181465,0.19676014469707723,0.3223292512177068,0.10420995766986939
91.51260855127828,0.400211065383014,0.400211065383014,0.19812896262250718,0.671780513539489,0.45444873521259377
110.00616784255398,0.9756242605216673,0.9756242605216673,0.6360384171102819,0.6037837755168434,0.36602857030424263
100.63154447474744,0.4833976336198881,0.4833976336198881,0.4801883883605155,0.5012354328511496,0.25266002539817817
103.05247552800442,0.9485733292118232,0.9485733292118232,0.7864657746889141,0.3006887948663385,0.09037225326265513
100.74108359099402,0.7644567144467549,0.7644567144467549,0.18661804077667193,0.43633304681903995,0.19094140802019288
95.26260167791294,0.44631422314035685,0.44631422314035685,0.12954237612658018,0.3238665566291429,0.10529041823140685
