Expiry,Nelder-Mead Calibration error on train data,a,b,rho,mu,sigma
0.015873015873015872,2.4308700163941435,-0.0146188306606705,3.220168425738266,-0.0305789163419363,4.676992962943969,0.0837045084414087
0.03571428571428571,2.761135659601632,0.1414994143801094,1.598351364460994,-0.0261117122660492,4.686957764762958,0.0693390701126591
0.05555555555555555,6.716226055049199,-0.8769949614389257,4.014797393475628,0.1620682428891685,4.739744853936912,-0.2855237067990934
0.07539682539682539,4.054884576681063,-54.83762500591649,33.04128840450409,0.6648738422769764,6.708581284455152,2.2352160287253735
0.09523809523809523,0.42304993056866413,-14.15926113968562,13.220502994726957,0.6059002796361852,5.810070059081566,1.376007706535345
0.11507936507936507,0.20976187495981893,-0.4271576546074724,2.6225688638800277,0.5433538878069035,4.988387747584756,0.3301046535481129
0.1349206349206349,1.195368651486682,-3.566239194815749,4.282209318007975,-0.4529811853868273,4.243654052585878,-1.010983747875711
0.21428571428571427,1.2588219525767308,-14.390085242475726,51.09163119782254,-0.9473885257316838,2.1398025004661014,0.8961430118842286
0.29365079365079366,1.5497559819773514,-10.21012221733099,50.595914282443175,-0.9603140434646043,2.234848337991802,0.7417499848660385
0.4722222222222222,1.4172155718987745,-2.7400205551955423,198.78844847278265,-0.9961474202654088,2.8703515665819745,-0.17219368483080533
0.5515873015873016,1.267828869732293,-1.8276897255653863,369.97251973240543,-0.9984966925701855,2.987933965773433,0.10276166103660896
0.8293650793650794,0.7888267472058723,0.08937227477772253,2541.919952194611,-0.9999855234456339,3.6836741467432974,-0.010762274289566123
